product_id,product_name,product_category,thread_id,issue,resolution,start_date,end_date,resolution_days,initial_response_days,num_messages,msg_exchange_rate,yourcompany_msgs,manufacturer_msgs,avg_content_length,avg_word_count,has_evidence,first_subject,last_subject
P006,Coffee Maker Deluxe,coffee,CM-2023-05-10,Leaking Defect and Heating Element Failure,Manufacturer Accepted,2023-05-10,2023-05-19,9,2,5,0.5555555555555556,3,2,804.8,121.6,True,Quality Issues with Coffee Maker Deluxe (P006),RE: Coffee Maker Deluxe - Acknowledgment of Issue
P002,Yoga Mat Premium,yoga,YM-2023-06-05,Material Degradation Issue,Blacklisted,2023-06-05,2023-06-13,8,2,5,0.625,3,2,858.0,132.4,True,Serious Quality Issue with Yoga Mat Premium (P002),Request to Blacklist - Yoga Mat Premium (P002)
P027,Wireless Keyboard and Mouse Combo,wireless,KM-2023-06-25,Connectivity Issues and Build Quality Problems,Manufacturer Accepted,2023-06-25,2023-07-06,11,2,5,0.45454545454545453,3,2,892.6,135.4,True,Quality Concerns - Wireless Keyboard and Mouse Combo (P027),RE: Wireless Keyboard/Mouse Issues - Resolution Plan
P012,Bluetooth Speaker,bluetooth,BS-2023-07-20,Waterproofing and Battery Life Defects,Blacklisted,2023-07-20,2023-08-01,12,3,5,0.4166666666666667,3,2,967.4,142.2,True,Critical Defects - Bluetooth Speaker (P012),Request to Blacklist - Bluetooth Speaker (P012)
P031,Plant-Based Protein Bars,plant,PB-2023-08-15,Mold and Allergen Concerns,Manufacturer Accepted,2023-08-15,2023-08-19,4,1,4,1.0,2,2,1037.5,153.75,True,Urgent: Quality and Safety Issues with Plant-Based Protein Bars (P031),RE: Protein Bars Investigation - Preliminary Findings
P014,Air Purifier,air,AP-2023-06-15,Filter Defect,Manufacturer Accepted,2023-06-15,2023-06-18,3,2,3,1.0,2,1,247.66666666666666,39.0,False,Filter Issues - Air Purifier (P014),RE: Filter Issues - Air Purifier (P014)
P022,Gaming Mouse,gaming,GM-2023-07-22,Sensor Malfunction,Blacklisted,2023-07-22,2023-07-26,4,2,3,0.75,2,1,240.33333333333334,35.666666666666664,False,Sensor Issues - Gaming Mouse (P022),Request to Blacklist - Gaming Mouse (P022)
P018,Digital Drawing Tablet,digital,DT-2023-08-10,Driver Compatibility,Manufacturer Accepted,2023-08-10,2023-08-12,2,1,3,1.5,2,1,238.33333333333334,34.666666666666664,False,Driver Issues - Digital Drawing Tablet (P018),RE: Driver Issues - Digital Drawing Tablet (P018)
P039,Smart Light Bulbs,smart,SL-2023-09-05,App Connection Failure,Manufacturer Accepted,2023-09-05,2023-09-08,3,1,3,1.0,2,1,214.66666666666666,34.333333333333336,False,Connection Issues - Smart Light Bulbs (P039),RE: Connection Issues - Smart Light Bulbs (P039)
P036,Sunrise Alarm Clock,sunrise,SC-2023-10-12,Light Malfunction,Blacklisted,2023-10-12,2023-10-15,3,2,3,1.0,2,1,262.6666666666667,40.0,True,Light Issues - Sunrise Alarm Clock (P036),Request to Blacklist - Sunrise Alarm Clock (P036)
